2016 MX1200_MY90: Original 0.39, Calibrated 0.38 +0.06/-0.03, SF, 0.97 - 2024-07-17 08:36:40
2016 MX1400_MY90: Original 0.39, Calibrated 0.38 +0.06/-0.03, SF, 0.97 - 2024-07-17 08:37:39
2016 MX1600_MY90: Original 0.40, Calibrated 0.40 +0.06/-0.05, SF, 1.00 - 2024-07-17 08:38:47
2016 MX1800_MY90: Original 0.41, Calibrated 0.39 +0.06/-0.04, SF, 0.96 - 2024-07-17 08:40:04
2016 MX2000_MY90: Original 0.41, Calibrated 0.41 +0.04/-0.05, SF, 0.99 - 2024-07-17 08:41:39
2016 MX2200_MY90: Original 0.43, Calibrated 0.40 +0.05/-0.03, SF, 0.93 - 2024-07-17 08:43:14
2016 MX2400_MY90: Original 0.42, Calibrated 0.39 +0.03/-0.03, SF, 0.92 - 2024-07-17 08:44:56
2016 MX2500_MY90: Original 0.41, Calibrated 0.38 +0.04/-0.03, SF, 0.91 - 2024-07-17 08:46:40
2016 MX2600_MY90: Original 0.41, Calibrated 0.37 +0.04/-0.02, SF, 0.89 - 2024-07-17 08:48:29
2016 MX2800_MY90: Original 0.42, Calibrated 0.37 +0.03/-0.02, SF, 0.89 - 2024-07-17 08:50:23
2016 MX3000_MY90: Original 0.39, Calibrated 0.34 +0.03/-0.02, SF, 0.86 - 2024-07-17 08:52:24
2016 MX3500_MY90: Original 0.36, Calibrated 0.32 +0.04/-0.01, SF, 0.88 - 2024-07-17 08:54:34
2016 MX4000_MY90: Original 0.32, Calibrated 0.30 +0.04/-0.03, SF, 0.92 - 2024-07-17 08:56:52
2016APV MX1200_MY90: Original 0.38, Calibrated 0.38 +0.06/-0.04, SF, 1.00 - 2024-07-17 08:57:42
2016APV MX1400_MY90: Original 0.39, Calibrated 0.39 +0.05/-0.04, SF, 0.99 - 2024-07-17 08:58:40
2016APV MX1600_MY90: Original 0.41, Calibrated 0.41 +0.04/-0.03, SF, 1.01 - 2024-07-17 08:59:47
2016APV MX1800_MY90: Original 0.42, Calibrated 0.42 +0.04/-0.05, SF, 1.00 - 2024-07-17 09:01:07
2016APV MX2000_MY90: Original 0.42, Calibrated 0.42 +0.03/-0.03, SF, 0.98 - 2024-07-17 09:02:32
